split,path,label,system_id,hf_idx
train,__hf__,0,librispeech,1122
train,__hf__,0,librispeech,26975
train,__hf__,0,librispeech,15803
train,__hf__,0,librispeech,24826
train,__hf__,0,librispeech,8307
train,__hf__,0,librispeech,15605
train,__hf__,0,librispeech,6515
train,/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/wavefake/generated_audio/ljspeech_melgan_large/LJ016-0058_gen.wav,1,ljspeech_melgan_large,
train,/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/wavefake/generated_audio/common_voices_prompts_from_conformer_fastspeech2_pwg_ljspeech/gen_10493.wav,1,common_voices_prompts_from_conformer_fastspeech2_pwg_ljspeech,
train,__hf__,0,librispeech,23494
train,/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T28/task1/team28_intra-TEM2_SEM1_E30003.wav,1,VCC2020_T28,
train,__hf__,0,librispeech,22455
train,__hf__,0,librispeech,20834
train,__hf__,0,librispeech,14414
train,__hf__,0,librispeech,23355
train,__hf__,0,librispeech,20790
train,/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/wavefake/generated_audio/ljspeech_parallel_wavegan/LJ042-0155_gen.wav,1,ljspeech_parallel_wavegan,
train,/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T18/task1/team18_intra-TEM2_SEF1_E30001.wav,1,VCC2020_T18,
train,/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/wavefake/generated_audio/ljspeech_melgan/LJ009-0181_gen.wav,1,ljspeech_melgan,
train,__hf__,0,librispeech,13218
train,/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/wavefake/generated_audio/ljspeech_hifiGAN/LJ012-0154_generated.wav,1,ljspeech_hifiGAN,
train,/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T25/task1/team25_intra-TEM1_SEM1_E30005.wav,1,VCC2020_T25,
train,__hf__,0,librispeech,24960
train,__hf__,0,librispeech,17355
train,__hf__,0,librispeech,1
train,/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/wavefake/generated_audio/ljspeech_full_band_melgan/LJ010-0185_gen.wav,1,ljspeech_full_band_melgan,
train,/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/wavefake/generated_audio/common_voices_prompts_from_conformer_fastspeech2_pwg_ljspeech/gen_15652.wav,1,common_voices_prompts_from_conformer_fastspeech2_pwg_ljspeech,
train,__hf__,0,librispeech,26669
train,/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/wavefake/generated_audio/common_voices_prompts_from_conformer_fastspeech2_pwg_ljspeech/gen_1746.wav,1,common_voices_prompts_from_conformer_fastspeech2_pwg_ljspeech,
train,/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T22/task1/team22_intra-TEM2_SEM2_E30003.wav,1,VCC2020_T22,
train,__hf__,0,librispeech,5881
train,__hf__,0,librispeech,17692
train,/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T03/task1/team03_intra-TEF1_SEM2_E30002.wav,1,VCC2020_T03,
train,__hf__,0,librispeech,20817
train,/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/wavefake/generated_audio/ljspeech_multi_band_melgan/LJ014-0063_gen.wav,1,ljspeech_multi_band_melgan,
train,__hf__,0,librispeech,9941
train,__hf__,0,librispeech,4216
train,/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/wavefake/generated_audio/common_voices_prompts_from_conformer_fastspeech2_pwg_ljspeech/gen_11797.wav,1,common_voices_prompts_from_conformer_fastspeech2_pwg_ljspeech,
train,__hf__,0,librispeech,27242
train,__hf__,0,librispeech,22630
train,__hf__,0,librispeech,14710
train,/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T30/task1/team30_intra-TEM2_SEF1_E30005.wav,1,VCC2020_T30,
train,__hf__,0,librispeech,24578
train,/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T29/task1/team29_intra-TEM2_SEF2_E30005.wav,1,VCC2020_T29,
train,__hf__,0,librispeech,11492
train,__hf__,0,librispeech,19290
train,__hf__,0,librispeech,2255
train,__hf__,0,librispeech,26953
train,/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T07/task1/team07_intra-TEF1_SEM1_E30002.wav,1,VCC2020_T07,
train,/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T07/task1/team07_intra-TEM1_SEM2_E30001.wav,1,VCC2020_T07,
train,__hf__,0,librispeech,9899
train,/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T20/task1/team20_intra-TEF2_SEM2_E30003.wav,1,VCC2020_T20,
