sample_id,system,label,raw_logit,C,T,cal_logit
fake__en__Cartesia.ai__Sonic-3___dorothy_and_wizard_oz_06_f000040,Cartesia.ai (Sonic-3),1,7.938098430633545,14.531673431396484,2.5960293736250355,2.934756051068626
fake__en__Cartesia.ai__Sonic-3___dorothy_and_wizard_oz_12_f000027,Cartesia.ai (Sonic-3),1,5.640260696411133,12.93978786468506,2.469712399591855,1.7768950932601442
fake__en__Cartesia.ai__Sonic-3___hunters_space_02_f000038,Cartesia.ai (Sonic-3),1,6.235862255096436,14.864764213562012,2.837628498519472,1.8428566450416957
fake__en__Cartesia.ai__Sonic-3___hunters_space_12_f000054,Cartesia.ai (Sonic-3),1,4.18450403213501,13.673490524291992,2.724070099041542,0.8790498057885262
fake__en__Cartesia.ai__Sonic-3___piratesofersatz_03_leinster_64kb_f000083,Cartesia.ai (Sonic-3),1,7.787867546081543,12.627395629882812,2.45117246865943,2.6030078398764513
fake__en__Cartesia.ai__Sonic-3___silent_bullet_02_f000003,Cartesia.ai (Sonic-3),1,5.460583209991455,13.887187004089355,2.620297576845503,1.6775290914945438
fake__en__Cartesia.ai__Sonic-3___silent_bullet_06_f000153,Cartesia.ai (Sonic-3),1,7.864316940307617,13.744749069213867,2.6354770754994985,2.5904497792121184
fake__en__Cartesia.ai__Sonic-3___silent_bullet_07_f000105,Cartesia.ai (Sonic-3),1,3.880476474761963,13.579696655273438,2.6206876807210744,0.9371918054283236
fake__en__Cartesia.ai__Sonic-3___silent_bullet_10_f000160,Cartesia.ai (Sonic-3),1,4.802805423736572,13.123236656188965,2.5899016769555243,1.242813081412245
fake__en__Cartesia.ai__Sonic-3___silent_bullet_11_f000273,Cartesia.ai (Sonic-3),1,4.895738124847412,14.84796142578125,2.894060933930533,1.173049487970525
fake__en__Cartesia.ai__Sonic-3___silent_bullet_11_f000332,Cartesia.ai (Sonic-3),1,1.6434218883514404,12.666918754577637,2.3491607819776914,0.3018632799674867
fake__en__Chatterbox__dorothy_and_wizard_oz_08_f000065,Chatterbox,1,4.740870952606201,13.917970657348633,2.672543747741811,1.2826372866403355
fake__en__Chatterbox__dorothy_and_wizard_oz_14_f000118,Chatterbox,1,3.901158332824707,13.938468933105469,2.613506714088408,1.0595979025737678
fake__en__Chatterbox__hunters_space_07_f000061,Chatterbox,1,5.685685157775879,14.819025993347168,2.7839990637783925,1.7025139717347333
fake__en__Chatterbox__hunters_space_18_f000010,Chatterbox,1,4.518158435821533,13.916439056396484,2.674780649153048,1.1850137609404017
fake__en__Chatterbox__piratesofersatz_01_leinster_64kb_f000228,Chatterbox,1,-2.69379997253418,13.99399471282959,2.7763340004962216,-1.9997793218191136
fake__en__Chatterbox__piratesofersatz_03_leinster_64kb_f000157,Chatterbox,1,-2.038153886795044,14.513716697692873,2.725927862507127,-1.4776158669221682
fake__en__Chatterbox__piratesofersatz_05_leinster_64kb_f000020,Chatterbox,1,-0.0563405081629753,14.19174098968506,2.6016529664145147,-0.49072140009103815
fake__en__Chatterbox__piratesofersatz_08_leinster_64kb_f000139,Chatterbox,1,2.717573881149292,12.998117446899414,2.5124771873792047,0.5080591805508372
fake__en__Chatterbox__piratesofersatz_10_leinster_64kb_f000158,Chatterbox,1,1.696278095245361,14.356888771057127,2.725093149385435,0.03302382812162386
fake__en__Chatterbox__piratesofersatz_11_leinster_64kb_f000101,Chatterbox,1,0.8451257348060608,15.492952346801758,2.9102130755037967,-0.37800548091890535
fake__en__Chatterbox__silent_bullet_06_f000312,Chatterbox,1,2.524029493331909,14.415887832641602,2.7074185682349783,0.4299952403481716
fake__en__Chatterbox__silent_bullet_07_f000129,Chatterbox,1,1.8366694450378416,13.965476036071776,2.615152889858844,0.20521750958431323
fake__en__Chatterbox__silent_bullet_09_f000280,Chatterbox,1,6.839525699615479,14.900472640991213,2.8043061788528503,2.163969761070548
fake__en__Chatterbox__silent_bullet_10_f000250,Chatterbox,1,1.8130403757095337,14.160734176635742,2.7704598503262274,-0.06630240841254062
fake__en__DeepGram__dorothy_and_wizard_oz_03_f000061,DeepGram,1,3.529825210571289,14.802985191345217,2.800466663286132,0.7875892328307861
fake__en__DeepGram__dorothy_and_wizard_oz_11_f000069,DeepGram,1,6.613795280456543,13.525839805603027,2.573358229752625,2.142346729291262
fake__en__DeepGram__piratesofersatz_01_leinster_64kb_f000118,DeepGram,1,7.190316677093506,13.83579921722412,2.730696459268034,2.1483455157441345
fake__en__DeepGram__piratesofersatz_04_leinster_64kb_f000145,DeepGram,1,6.333471298217773,13.250468254089355,2.552062438823783,1.9893373900517224
fake__en__DeepGram__piratesofersatz_12_leinster_64kb_f000008,DeepGram,1,2.695553541183472,13.860119819641112,2.6478678203327104,0.4786551177714996
fake__en__DeepGram__silent_bullet_02_f000159,DeepGram,1,3.594129800796509,12.765955924987791,2.5469109086466317,0.7310136545413065
fake__en__DeepGram__silent_bullet_04_f000097,DeepGram,1,2.543323040008545,14.900612831115724,2.8146996589356723,0.3819851560481352
fake__en__DeepGram__silent_bullet_05_f000179,DeepGram,1,5.198513984680176,12.88479709625244,2.496196155728781,1.529351078032644
fake__en__DeepGram__silent_bullet_12_f000219,DeepGram,1,5.313980579376221,14.838777542114258,2.8416447920828998,1.4467896127957278
fake__en__Edge-TTS__hunters_space_13_f000101,Edge-TTS,1,5.625777721405029,13.67995262145996,2.6346179263126075,1.6569509267634543
fake__en__Edge-TTS__piratesofersatz_02_leinster_64kb_f000114,Edge-TTS,1,2.95493483543396,9.77859878540039,1.6192766573585755,1.450265222968255
fake__en__Edge-TTS__piratesofersatz_04_leinster_64kb_f000264,Edge-TTS,1,5.293747901916504,13.081899642944336,2.6532498745597044,1.3023896578602001
fake__en__Edge-TTS__piratesofersatz_05_leinster_64kb_f000027,Edge-TTS,1,3.376690149307251,11.861884117126465,2.497129305406013,0.4648618273027537
fake__en__Edge-TTS__piratesofersatz_05_leinster_64kb_f000201,Edge-TTS,1,2.255974531173706,14.170604705810549,2.7694438284346323,0.14605375797453224
fake__en__Edge-TTS__silent_bullet_02_f000052,Edge-TTS,1,4.873851299285889,12.456158638000488,2.4424239464435398,1.3703569727415394
fake__en__Edge-TTS__silent_bullet_10_f000225,Edge-TTS,1,8.177589416503906,14.628789901733398,2.772803141336225,2.710022208075231
fake__en__Edge-TTS__silent_bullet_10_f000287,Edge-TTS,1,2.8673887252807617,14.650652885437012,2.681470478415077,0.7209448991355709
fake__en__Edge-TTS__silent_bullet_13_f000266,Edge-TTS,1,1.579458475112915,11.547762870788574,2.333425612878505,-0.03499186444595492
fake__en__FireRedTTS-2.0__dorothy_and_wizard_oz_09_f000102,FireRedTTS-2.0,1,-0.8473987579345703,13.82907772064209,2.59768292809541,-0.9581120178712879
fake__en__FireRedTTS-2.0__dorothy_and_wizard_oz_14_f000119,FireRedTTS-2.0,1,-2.7478291988372803,11.846834182739258,2.3884143075477664,-1.9583180169525114
fake__en__FireRedTTS-2.0__piratesofersatz_02_leinster_64kb_f000030,FireRedTTS-2.0,1,0.1207149848341941,13.365830421447754,2.678493640446717,-0.8478401457061602
fake__en__FireRedTTS-2.0__piratesofersatz_10_leinster_64kb_f000005,FireRedTTS-2.0,1,-2.9478423595428467,14.263728141784668,2.75449020184661,-2.0495468968591086
fake__en__FireRedTTS-2.0__piratesofersatz_12_leinster_64kb_f000033,FireRedTTS-2.0,1,0.1535545140504837,13.864649772644045,2.524794259836017,-0.3672935105564376
fake__en__FireRedTTS-2.0__piratesofersatz_12_leinster_64kb_f000110,FireRedTTS-2.0,1,-1.2031909227371216,13.604178428649902,2.5641415102910186,-1.112012232447869
fake__en__FireRedTTS-2.0__silent_bullet_03_f000041,FireRedTTS-2.0,1,1.148284673690796,12.132525444030762,2.697908044932347,-0.8229756442100662
fake__en__FireRedTTS-2.0__silent_bullet_03_f000183,FireRedTTS-2.0,1,-3.6937644481658936,13.105509757995604,2.646492334272434,-2.5060219344313612
fake__en__FireRedTTS-2.0__silent_bullet_04_f000141,FireRedTTS-2.0,1,-1.9803513288497925,12.893994331359863,2.496298592275397,-1.5263898716821147
fake__en__FireRedTTS-2.0__silent_bullet_04_f000278,FireRedTTS-2.0,1,0.6337719559669495,13.130215644836426,2.517039338948366,-0.3698489440365735
fake__en__FireRedTTS-2.0__silent_bullet_05_f000127,FireRedTTS-2.0,1,3.634773969650269,13.073969841003418,2.7096263863937984,0.5132895678565286
fake__en__FireRedTTS-2.0__silent_bullet_07_f000299,FireRedTTS-2.0,1,-1.6349295377731323,11.665265083312988,2.1982253005563104,-1.1467000169685766
fake__en__FireRedTTS-2.0__silent_bullet_09_f000197,FireRedTTS-2.0,1,0.3847187459468841,11.51133918762207,2.1267892953637144,-0.17803635197676912
fake__en__FireRedTTS-2.0__silent_bullet_09_f000291,FireRedTTS-2.0,1,-2.9440486431121826,13.485660552978516,2.6834910730784443,-2.1418151710984565
fake__en__FireRedTTS-2.0__silent_bullet_10_f000141,FireRedTTS-2.0,1,-2.493385076522827,11.832887649536133,2.3146829259708865,-1.7026259579307454
fake__en__FireRedTTS-2.0__silent_bullet_11_f000252,FireRedTTS-2.0,1,-3.913721799850464,12.97639274597168,2.528840997247423,-2.4005163012990405
fake__en__FishTTS__dorothy_and_wizard_oz_02_f000150,FishTTS,1,-2.027817964553833,11.866655349731444,2.307332577739844,-1.3776882112289708
fake__en__FishTTS__dorothy_and_wizard_oz_03_f000008,FishTTS,1,3.035172462463379,13.41278076171875,2.6622517781976973,0.44956794940909456
fake__en__FishTTS__dorothy_and_wizard_oz_07_f000046,FishTTS,1,3.219155788421631,12.918336868286133,2.3826402586700337,0.9498209585738853
fake__en__FishTTS__hunters_space_05_f000074,FishTTS,1,0.4824663996696472,14.073534965515137,2.6606369955790825,-0.40046897558177263
fake__en__FishTTS__hunters_space_17_f000018,FishTTS,1,7.1467156410217285,12.478313446044922,2.349798122964297,2.504354829346334
fake__en__FishTTS__piratesofersatz_06_leinster_64kb_f000035,FishTTS,1,3.519050121307373,13.171177864074709,2.5332740541158936,0.8408227396144912
fake__en__FishTTS__piratesofersatz_06_leinster_64kb_f000089,FishTTS,1,4.560474872589111,12.235466003417969,2.5074353294268734,1.0407395334688991
fake__en__FishTTS__piratesofersatz_07_leinster_64kb_f000220,FishTTS,1,3.8908231258392334,12.750876426696776,2.535695698578723,0.8622333219158296
fake__en__FishTTS__piratesofersatz_09_leinster_64kb_f000209,FishTTS,1,0.51901775598526,14.083681106567385,2.7966851657251133,-0.661483158651073
fake__en__FishTTS__piratesofersatz_12_leinster_64kb_f000181,FishTTS,1,7.179332733154297,13.548895835876465,2.710827774078912,2.100436922108225
fake__en__FishTTS__silent_bullet_03_f000018,FishTTS,1,8.205697059631348,13.798809051513672,2.7005773392683645,2.620332587145415
fake__en__FishTTS__silent_bullet_08_f000224,FishTTS,1,0.7652431130409241,14.1002779006958,2.738166664227468,-0.4348302322620882
