group,file_path,speaker,onset_rate_hz,inter_onset_cv,voiced_fraction,f0_mean_hz,f0_cv,envelope_cv,envelope_entropy,harmonic_percussive_ratio,spectral_flux
laugh-audioldm2,/home/ubuntu/DeepfakeDetectionRenewed/laughsmi/data/laugh_oss/audioldm2/audioldm2_001_p0_r1.wav,audioldm2,9.5,1.0155047886790483,0.3253968253968254,399.2164198382467,0.1217172667855635,0.6502302885055542,0.952607725223457,0.05227501317858696,0.5351656079292297
laugh-audioldm2,/home/ubuntu/DeepfakeDetectionRenewed/laughsmi/data/laugh_oss/audioldm2/audioldm2_004_p1_r1.wav,audioldm2,8.0,0.7756628663965656,0.1984126984126984,444.51234729750445,0.07766007106047108,0.6606200337409973,0.9448371918188,0.09744268655776978,0.5462067723274231
laugh-audioldm2,/home/ubuntu/DeepfakeDetectionRenewed/laughsmi/data/laugh_oss/audioldm2/audioldm2_011_p3_r2.wav,audioldm2,6.5,0.9896990041798214,0.2857142857142857,420.15835938117596,0.1855431206823666,0.9551380276679993,0.9029880007733568,0.08189708739519119,0.5241038203239441
laugh-audioldm2,/home/ubuntu/DeepfakeDetectionRenewed/laughsmi/data/laugh_oss/audioldm2/audioldm2_000_p0_r0.wav,audioldm2,8.5,0.8592910027261108,0.24603174603174602,452.8434076527044,0.06835471394992236,0.6164114475250244,0.9524290696059211,0.14637228846549988,0.5298780798912048
laugh-audioldm2,/home/ubuntu/DeepfakeDetectionRenewed/laughsmi/data/laugh_oss/audioldm2/audioldm2_008_p2_r2.wav,audioldm2,9.5,0.7355423724424222,0.2222222222222222,478.8014329023486,0.03442324863264537,0.7402267456054688,0.9437191152719694,0.0649619773030281,0.5113494396209717
laugh-audioldm2,/home/ubuntu/DeepfakeDetectionRenewed/laughsmi/data/laugh_oss/audioldm2/audioldm2_029_p9_r2.wav,audioldm2,8.0,0.7756628663965653,0.25396825396825395,466.399945267632,0.025475335627022463,0.7532411217689514,0.9417089437872445,0.07136198878288269,0.5521635413169861
laugh-audioldm2,/home/ubuntu/DeepfakeDetectionRenewed/laughsmi/data/laugh_oss/audioldm2/audioldm2_018_p6_r0.wav,audioldm2,6.5,0.8050081003075339,0.5793650793650794,380.724712790903,0.20788659881532842,1.1516984701156616,0.8697478019468781,0.22116129100322723,0.46741539239883423
laugh-audioldm2,/home/ubuntu/DeepfakeDetectionRenewed/laughsmi/data/laugh_oss/audioldm2/audioldm2_003_p1_r0.wav,audioldm2,8.5,0.7342843753722758,0.30158730158730157,435.33528546001327,0.08075442541928199,0.6844283938407898,0.9472703393516646,0.11139190196990967,0.5538707971572876
laugh-audioldm2,/home/ubuntu/DeepfakeDetectionRenewed/laughsmi/data/laugh_oss/audioldm2/audioldm2_025_p8_r1.wav,audioldm2,10.0,0.7423074810876427,0.4365079365079365,387.85359276434696,0.1334811925698196,1.1999324560165405,0.8845088772604269,0.05262955650687218,0.49890732765197754
laugh-audioldm2,/home/ubuntu/DeepfakeDetectionRenewed/laughsmi/data/laugh_oss/audioldm2/audioldm2_014_p4_r2.wav,audioldm2,5.0,1.0668545699554577,0.16666666666666666,351.989157466667,0.28549827172393727,0.8705012202262878,0.9189211831405848,0.269934743642807,0.5231460332870483
