group,file_path,bout_duration_s,voiced_fraction,unvoiced_run_mean_s,voiced_burst_mean_s,voicing_transition_rate_hz,f0_mean_hz,f0_range_hz,f0_std_hz,harmonicity_acf_db,spectral_cog_hz,spectral_cog_std_hz,inter_onset_cv
laugh-audioldm2,/home/ubuntu/DeepfakeDetectionRenewed/laughsmi/data/laugh_oss/audioldm2/audioldm2_001_p0_r1.wav,3.7719375,0.1440677966101695,1.0773333333333335,0.272,1.0604629583602592,463.52657932015023,57.09406029545619,16.103349123026856,-2.26797362683583,2997.3539730293924,626.5356911679213,0.5434605784211078
laugh-audioldm2,/home/ubuntu/DeepfakeDetectionRenewed/laughsmi/data/laugh_oss/audioldm2/audioldm2_004_p1_r1.wav,3.7763125,0.13924050632911392,1.088,0.13199999999999998,1.5888515582330647,417.350672400257,181.28941505545072,47.553856644931024,-2.708214044578077,2985.2850532311472,746.3747526235654,0.508350899449379
laugh-audioldm2,/home/ubuntu/DeepfakeDetectionRenewed/laughsmi/data/laugh_oss/audioldm2/audioldm2_011_p3_r2.wav,3.7653125,0.2245762711864407,0.732,0.2826666666666667,1.5934932359531913,415.25760517372964,219.29929356200807,68.59117398089353,-2.6817240278937864,2336.299471813208,462.7878530553828,0.6003018937854865
laugh-audioldm2,/home/ubuntu/DeepfakeDetectionRenewed/laughsmi/data/laugh_oss/audioldm2/audioldm2_000_p0_r0.wav,3.766875,0.1864406779661017,0.768,0.14079999999999998,2.1237763398042144,414.96189498009676,217.6743357086409,62.13323885165124,-3.7422701943774026,2949.7183973542133,669.924636972148,0.7611717234449942
laugh-audioldm2,/home/ubuntu/DeepfakeDetectionRenewed/laughsmi/data/laugh_oss/audioldm2/audioldm2_008_p2_r2.wav,3.765875,0.3093220338983051,0.3725714285714285,0.19466666666666665,3.18651043914097,444.73387380885197,171.95617159565205,53.68810032450356,-1.887408741156798,2522.008257172194,367.08106998273433,0.5508284538429821
laugh-audioldm2,/home/ubuntu/DeepfakeDetectionRenewed/laughsmi/data/laugh_oss/audioldm2/audioldm2_029_p9_r2.wav,3.6406875,0.3333333333333333,0.608,0.4053333333333333,1.6480403769892362,428.1281296169997,168.1467420244407,49.01391686660342,-0.810701693770844,2525.504490617838,598.0091236857338,0.42111238189169947
laugh-audioldm2,/home/ubuntu/DeepfakeDetectionRenewed/laughsmi/data/laugh_oss/audioldm2/audioldm2_018_p6_r0.wav,3.7664375,0.4915254237288136,0.2742857142857143,0.3093333333333333,3.186034548562136,392.6313259136391,248.45524373975655,75.92997016941234,-1.3328884088188153,2515.181656549895,735.8851068566008,1.2216782224970637
laugh-audioldm2,/home/ubuntu/DeepfakeDetectionRenewed/laughsmi/data/laugh_oss/audioldm2/audioldm2_003_p1_r0.wav,3.7746875,0.17796610169491525,0.5173333333333333,0.1344,2.6492259292987828,462.47666750248305,116.62260776551511,31.939269293438382,-2.253576459340252,2720.5073886575924,513.4071077611402,0.4973330281145453
laugh-audioldm2,/home/ubuntu/DeepfakeDetectionRenewed/laughsmi/data/laugh_oss/audioldm2/audioldm2_025_p8_r1.wav,3.7645,0.2584745762711864,1.4,0.976,0.5312790543232833,377.2169811715418,199.0147430660541,55.216494881525485,-1.828029769316522,2434.569818202358,538.3322140376332,0.6922470965185673
laugh-audioldm2,/home/ubuntu/DeepfakeDetectionRenewed/laughsmi/data/laugh_oss/audioldm2/audioldm2_014_p4_r2.wav,3.7655,0.1906779661016949,0.6112,0.18,2.124551852343646,400.3712856557652,233.50915992042428,83.54749984937538,-3.2621404354920593,2536.8110711240392,452.958047765368,0.565295605253475
