sample_id,speaker,label,C,T,rog_L12,vel_L9,logit_robust_goat,logit_mlaad_robust_goat
0,Alec Guinness,spoof,-10.929936408996582,2.511686214658214,10.929936408996582,2.511686214658214,7.215697288513184,8.272964477539062
10006,Ayn Rand,spoof,-10.925079345703123,2.654156029826218,10.925079345703123,2.654156029826218,0.7077912092208862,7.5554585456848145
10008,Bernie Sanders,spoof,-10.746363639831545,2.6618785378064183,10.746363639831545,2.6618785378064183,6.247729301452637,8.615823745727539
10016,Barack Obama,bona-fide,-10.28494358062744,2.643458176341932,10.28494358062744,2.643458176341932,1.7772295475006104,3.6222281455993652
10025,Lyndon Johnson,bona-fide,-10.54867458343506,2.7196402246414144,10.54867458343506,2.7196402246414144,4.752050876617432,6.236774444580078
10029,Alexandria Ocasio-Cortez,spoof,-10.693790435791016,2.773078173595024,10.693790435791016,2.773078173595024,4.483255386352539,9.92994499206543
10031,Barack Obama,bona-fide,-10.76479148864746,2.754715672216443,10.76479148864746,2.754715672216443,0.2801040709018707,4.036832332611084
10039,Christopher Hitchens,bona-fide,-10.743687629699709,2.791295079627281,10.743687629699709,2.791295079627281,7.742639064788818,5.924614429473877
1004,Bernie Sanders,bona-fide,-11.020835876464844,2.8515936094029555,11.020835876464844,2.8515936094029555,6.654160499572754,6.825956344604492
10041,Barack Obama,bona-fide,-10.43251609802246,2.80854098633371,10.43251609802246,2.80854098633371,-1.6760964393615723,7.748687267303467
10054,Bernie Sanders,spoof,-10.861915588378906,2.7465270554552825,10.861915588378906,2.7465270554552825,6.368456840515137,6.53349494934082
10057,Donald Trump,bona-fide,-10.790059089660645,2.899595784972661,10.790059089660645,2.899595784972661,2.7504525184631348,5.513446807861328
10064,Queen Elizabeth II,spoof,-10.514841079711914,2.625468934727553,10.514841079711914,2.625468934727553,9.716137886047363,5.9257426261901855
10068,Queen Elizabeth II,spoof,-10.617039680480955,2.625931607082311,10.617039680480955,2.625931607082311,3.0419211387634277,6.138258457183838
10072,Alec Guinness,spoof,-10.844616889953612,2.7205522301611618,10.844616889953612,2.7205522301611618,7.296199321746826,6.463921070098877
10073,Ayn Rand,spoof,-10.953020095825195,2.7388390136778966,10.953020095825195,2.7388390136778966,7.520075798034668,10.309297561645508
10086,Donald Trump,bona-fide,-10.59621524810791,2.731848707820688,10.59621524810791,2.731848707820688,-1.045182228088379,7.39875602722168
10090,JFK,bona-fide,-10.902057647705078,2.8136561047497097,10.902057647705078,2.8136561047497097,4.39223575592041,5.750773906707764
10097,Orson Welles,spoof,-11.010169982910156,2.5584055193843414,11.010169982910156,2.5584055193843414,9.60950756072998,9.123459815979004
101,Christopher Hitchens,spoof,-9.44444751739502,2.716648869763896,9.44444751739502,2.716648869763896,6.696067810058594,6.87774658203125
10110,George Carlin,bona-fide,-10.965858459472656,2.866582327692696,10.965858459472656,2.866582327692696,5.408261775970459,6.36171293258667
10117,FDR,bona-fide,-9.944857597351074,2.424719094007045,9.944857597351074,2.424719094007045,-2.008519411087036,1.6898095607757568
10118,Calvin Coolidge,bona-fide,-10.622435569763184,2.793061116606675,10.622435569763184,2.793061116606675,1.6997087001800537,5.595890045166016
10122,Ronald Reagan,bona-fide,-10.7526216506958,2.788058932789545,10.7526216506958,2.788058932789545,4.5320892333984375,7.5793609619140625
10123,Donald Trump,bona-fide,-10.797160148620604,2.768919985018062,10.797160148620604,2.768919985018062,7.936997413635254,6.888608932495117
10128,Bill Clinton,bona-fide,-10.443618774414062,2.7803590659091717,10.443618774414062,2.7803590659091717,2.9559268951416016,8.913455963134766
10129,Alec Guinness,bona-fide,-10.772708892822266,2.810772425509772,10.772708892822266,2.810772425509772,-0.8855109214782715,8.534098625183105
10130,Queen Elizabeth II,spoof,-10.879222869873049,2.5152219556045217,10.879222869873049,2.5152219556045217,8.004095077514648,9.595151901245117
10133,Bernie Sanders,spoof,-10.80994987487793,2.802327876517521,10.80994987487793,2.802327876517521,8.43034839630127,7.965656280517578
10136,Alec Guinness,spoof,-10.558688163757324,2.709567466041476,10.558688163757324,2.709567466041476,7.634377479553223,9.684852600097656
10139,Alec Guinness,bona-fide,-10.847821235656738,2.6647358548353086,10.847821235656738,2.6647358548353086,0.10158192366361618,12.400619506835938
10140,Donald Trump,bona-fide,-10.52236270904541,2.848890501938072,10.52236270904541,2.848890501938072,0.048626430332660675,5.995515823364258
10147,Alec Guinness,spoof,-10.722783088684082,2.740081872542331,10.722783088684082,2.740081872542331,8.38414478302002,7.687033176422119
10153,Winston Churchill,bona-fide,-10.793241500854492,2.713406234378228,10.793241500854492,2.713406234378228,7.5537004470825195,5.118379592895508
10154,Christopher Hitchens,bona-fide,-10.943875312805176,2.8957699261080307,10.943875312805176,2.8957699261080307,5.67243766784668,5.184713363647461
10163,Barack Obama,bona-fide,-10.641501426696776,2.8760024375489985,10.641501426696776,2.8760024375489985,1.0165324211120605,7.480771541595459
10176,Bernie Sanders,spoof,-11.10727596282959,2.893705268588242,11.10727596282959,2.893705268588242,8.273489952087402,8.133715629577637
10179,Kanye West,spoof,-10.708131790161133,2.692273426929221,10.708131790161133,2.692273426929221,11.707801818847656,9.932711601257324
10183,Robert Kardashian,bona-fide,-9.926901817321776,2.817595578076923,9.926901817321776,2.817595578076923,1.8772419691085815,4.204411506652832
10190,Alec Guinness,bona-fide,-10.821134567260742,2.7533341273027565,10.821134567260742,2.7533341273027565,-0.8881285190582275,7.591235637664795
10195,Donald Trump,bona-fide,-10.751483917236328,2.7364203983742827,10.751483917236328,2.7364203983742827,4.410648345947266,6.559635162353516
10204,Barack Obama,bona-fide,-11.077862739562988,2.8107077958153366,11.077862739562988,2.8107077958153366,5.197936058044434,7.30797815322876
10209,Bernie Sanders,spoof,-10.783024787902832,2.6352407402433253,10.783024787902832,2.6352407402433253,7.531860828399658,8.992013931274414
10211,Bill Clinton,bona-fide,-10.680127143859863,2.7477173675109148,10.680127143859863,2.7477173675109148,3.4429244995117188,5.52252721786499
10212,Nelson Mandela,spoof,-9.673640251159668,2.505302869234054,9.673640251159668,2.505302869234054,3.8994927406311035,2.019636631011963
10213,Milton Friedman,spoof,-11.07920742034912,2.8215622605763646,11.07920742034912,2.8215622605763646,9.357501983642578,8.831415176391602
10216,Bernie Sanders,spoof,-10.973688125610352,2.731505218906063,10.973688125610352,2.731505218906063,6.876461505889893,7.928678512573242
1022,FDR,bona-fide,-10.55919075012207,2.712347272831583,10.55919075012207,2.712347272831583,3.752328395843506,8.858922958374023
10228,Mark Zuckerberg,bona-fide,-10.48422145843506,2.815381219271831,10.48422145843506,2.815381219271831,1.5127636194229126,6.894351005554199
10232,Norm MacDonald,bona-fide,-10.905652046203612,2.67801145770894,10.905652046203612,2.67801145770894,7.4540324211120605,9.353164672851562
10234,Alec Guinness,spoof,-10.733001708984377,2.6328601608971685,10.733001708984377,2.6328601608971685,8.310121536254883,9.067625045776367
10238,Bill Clinton,spoof,-11.059019088745115,2.702453910806613,11.059019088745115,2.702453910806613,5.921509742736816,7.404114723205566
1024,Barack Obama,bona-fide,-9.941622734069824,2.8102197983580526,9.941622734069824,2.8102197983580526,5.322625637054443,2.8836047649383545
10256,Bernie Sanders,bona-fide,-10.435901641845703,2.7205851048599965,10.435901641845703,2.7205851048599965,-1.9278053045272827,5.98997688293457
10262,Donald Trump,spoof,-10.546730995178224,2.6011241673231704,10.546730995178224,2.6011241673231704,2.6059329509735107,6.8034563064575195
10267,Winston Churchill,bona-fide,-10.69803237915039,2.7471758216490523,10.69803237915039,2.7471758216490523,0.5755607485771179,4.586894989013672
10273,Orson Welles,spoof,-11.014835357666016,2.516853923449151,11.014835357666016,2.516853923449151,10.61296272277832,9.089959144592285
10278,Alec Guinness,bona-fide,-10.641287803649902,2.83286900805586,10.641287803649902,2.83286900805586,6.9853410720825195,6.500388145446777
10282,Ronald Reagan,spoof,-10.168572425842283,2.797512879575665,10.168572425842283,2.797512879575665,7.766613006591797,7.915212631225586
10294,Barack Obama,spoof,-10.891674041748049,2.7829352705636627,10.891674041748049,2.7829352705636627,2.6404099464416504,7.616715908050537
10305,Ayn Rand,spoof,-10.824551582336426,2.761939424641564,10.824551582336426,2.761939424641564,6.245947360992432,7.870354175567627
10306,The Notorious B.I.G.,spoof,-10.428006172180176,2.590617252833589,10.428006172180176,2.590617252833589,2.791775941848755,7.996277332305908
10311,Donald Trump,bona-fide,-9.94988250732422,2.811393249175296,9.94988250732422,2.811393249175296,3.7943530082702637,4.976558685302734
10317,Alexandria Ocasio-Cortez,bona-fide,-10.677812576293944,2.683650811337718,10.677812576293944,2.683650811337718,3.1888465881347656,5.120098114013672
10320,Milton Friedman,spoof,-10.83009433746338,2.911988529460774,10.83009433746338,2.911988529460774,10.858413696289062,9.529414176940918
10324,Winston Churchill,bona-fide,-10.269731521606444,2.7732298440580747,10.269731521606444,2.7732298440580747,6.871923446655273,7.2953643798828125
10328,Alan Watts,spoof,-10.91512393951416,2.830476125988159,10.91512393951416,2.830476125988159,9.76377010345459,7.452137470245361
10357,Nelson Mandela,spoof,-10.870498657226562,2.822885112947413,10.870498657226562,2.822885112947413,9.956783294677734,7.215946197509766
10358,Ronald Reagan,spoof,-10.557305335998535,2.8142285167675505,10.557305335998535,2.8142285167675505,6.5739970207214355,6.370007514953613
1037,Louis Farrakhan,bona-fide,-10.530784606933594,2.6612865330958666,10.530784606933594,2.6612865330958666,8.260367393493652,8.522001266479492
