sample_id,system,label,raw_logit,C,T,cal_logit,C_w2v2,C_ensemble,C_wavlm_z
fake__en__Cartesia.ai__Sonic-3___dorothy_and_wizard_oz_06_f000040,Cartesia.ai (Sonic-3),1,7.938098430633545,14.531673431396484,2.5960293736250355,2.934756051068626,7.7977070808410645,0.7169913508537655,1.034340296514703
fake__en__Cartesia.ai__Sonic-3___dorothy_and_wizard_oz_12_f000027,Cartesia.ai (Sonic-3),1,5.640260696411133,12.93978786468506,2.469712399591855,1.7768950932601442,7.683794975280762,-0.18477519412043855,-0.3995240203267611
fake__en__Cartesia.ai__Sonic-3___hunters_space_02_f000038,Cartesia.ai (Sonic-3),1,6.235862255096436,14.864764213562012,2.837628498519472,1.842856645041696,7.711708068847656,0.7274618752594697,1.334366251145739
fake__en__Cartesia.ai__Sonic-3___hunters_space_12_f000054,Cartesia.ai (Sonic-3),1,4.18450403213501,13.673490524291992,2.724070099041542,0.8790498057885262,7.642660617828369,0.07891518297288562,0.2613463869320855
fake__en__Cartesia.ai__Sonic-3___piratesofersatz_03_leinster_64kb_f000083,Cartesia.ai (Sonic-3),1,7.787867546081543,12.627395629882812,2.45117246865943,2.603007839876452,7.779444217681885,-0.17026526820471433,-0.6809061043836256
fake__en__Cartesia.ai__Sonic-3___silent_bullet_02_f000003,Cartesia.ai (Sonic-3),1,5.460583209991455,13.887187004089355,2.620297576845503,1.6775290914945438,7.864616394042969,0.5353035686683545,0.45382991930625527
fake__en__Cartesia.ai__Sonic-3___silent_bullet_06_f000153,Cartesia.ai (Sonic-3),1,7.864316940307617,13.744749069213867,2.6354770754994985,2.5904497792121184,7.707971572875977,0.2169815566226415,0.325531330228354
fake__en__Cartesia.ai__Sonic-3___silent_bullet_07_f000105,Cartesia.ai (Sonic-3),1,3.880476474761963,13.579696655273438,2.6206876807210744,0.9371918054283236,7.805460453033447,0.300833428991402,0.17686312711961208
fake__en__Cartesia.ai__Sonic-3___silent_bullet_10_f000160,Cartesia.ai (Sonic-3),1,4.802805423736572,13.123236656188965,2.5899016769555243,1.242813081412245,7.635612487792969,-0.18033713747039365,-0.23428558761169016
fake__en__Cartesia.ai__Sonic-3___silent_bullet_11_f000273,Cartesia.ai (Sonic-3),1,4.895738124847412,14.84796142578125,2.894060933930533,1.173049487970525,7.688911437988281,0.6829045260147247,1.3192314209003302
fake__en__Cartesia.ai__Sonic-3___silent_bullet_11_f000332,Cartesia.ai (Sonic-3),1,1.6434218883514404,12.666918754577637,2.3491607819776914,0.3018632799674867,7.67697811126709,-0.31872741886476236,-0.6453063104191281
fake__en__Chatterbox__dorothy_and_wizard_oz_08_f000065,Chatterbox,1,4.740870952606201,13.917970657348633,2.672543747741811,1.2826372866403355,7.566372871398926,0.06523597782456766,0.4815577804499953
fake__en__Chatterbox__dorothy_and_wizard_oz_14_f000118,Chatterbox,1,3.901158332824707,13.938468933105469,2.613506714088408,1.0595979025737678,7.63593864440918,0.18734550965154959,0.5000212597220777
fake__en__Chatterbox__hunters_space_07_f000061,Chatterbox,1,5.685685157775879,14.819025993347168,2.7839990637783925,1.7025139717347333,7.74849271774292,0.7665498729380855,1.293168313773027
fake__en__Chatterbox__hunters_space_18_f000010,Chatterbox,1,4.518158435821533,13.916439056396484,2.674780649153048,1.1850137609404017,7.68018913269043,0.24922506498028155,0.48017821649210174
fake__en__Chatterbox__piratesofersatz_01_leinster_64kb_f000228,Chatterbox,1,-2.69379997253418,13.99399471282959,2.7763340004962216,-1.9997793218191136,7.6457200050354,0.22822375627769026,0.5500351777298218
fake__en__Chatterbox__piratesofersatz_03_leinster_64kb_f000157,Chatterbox,1,-2.038153886795044,14.513716697692873,2.725927862507127,-1.4776158669221682,7.722786903381348,0.5873383597349693,1.018166068766773
fake__en__Chatterbox__piratesofersatz_05_leinster_64kb_f000020,Chatterbox,1,-0.0563405081629753,14.19174098968506,2.6016529664145147,-0.4907214000910381,7.623801231384277,0.2817165647529752,0.7281518314017704
fake__en__Chatterbox__piratesofersatz_08_leinster_64kb_f000139,Chatterbox,1,2.717573881149292,12.998117446899414,2.5124771873792047,0.5080591805508372,7.848715782165527,0.1090958798177093,-0.34698462408974884
fake__en__Chatterbox__piratesofersatz_10_leinster_64kb_f000158,Chatterbox,1,1.696278095245361,14.356888771057127,2.725093149385435,0.0330238281216238,7.678995132446289,0.4456515331716289,0.8769059351305524
fake__en__Chatterbox__piratesofersatz_11_leinster_64kb_f000101,Chatterbox,1,0.8451257348060608,15.492952346801758,2.9102130755037967,-0.3780054809189053,7.634416580200195,0.8849632765279705,1.9001962123888063
fake__en__Chatterbox__silent_bullet_06_f000312,Chatterbox,1,2.524029493331909,14.415887832641602,2.7074185682349783,0.4299952403481716,7.809107303619385,0.6833434413915759,0.930048353720271
fake__en__Chatterbox__silent_bullet_07_f000129,Chatterbox,1,1.8366694450378416,13.965476036071776,2.615152889858844,0.2052175095843132,7.619755744934082,0.1732501494410037,0.5243474563121059
fake__en__Chatterbox__silent_bullet_09_f000280,Chatterbox,1,6.839525699615479,14.900472640991213,2.8043061788528503,2.163969761070548,7.686677932739258,0.7029297282575608,1.3665300203085107
