clip_file,file_id,speaker,detected_start_s,detected_end_s,clip_start_s,clip_end_s,max_prob,n_laugh_segs_in_file,rms,peak,review_laughter,review_english,review_notes
00000_id09087_gOnkET2l2Ms_00047.wav_p0.737_1.49-4.42_id09087.wav,00000_id09087_gOnkET2l2Ms_00047.wav,id09087,1.4912,4.4172,1.1412,4.7672,0.7373943274022767,1,0.04367237910628319,0.251983642578125,,,
00001_id00431_b-OtsPVNhTw_00081.wav_p0.751_3.22-7.02_id00431.wav,00001_id00431_b-OtsPVNhTw_00081.wav,id00431,3.2177,7.0181,2.8676999999999997,7.368099999999999,0.7514876130126161,2,0.04919888451695442,0.245452880859375,,,
00011_id05584_JazoJz6Z7E8_00081.wav_p0.714_0.00-0.58_id05584.wav,00011_id05584_JazoJz6Z7E8_00081.wav,id05584,0.0,0.582,0.0,0.9319999999999999,0.714142293302082,1,0.06058036535978317,0.442962646484375,,,
00016_id08022_UuPxNAicP1Q_00203.wav_p0.718_2.77-7.40_id08022.wav,00016_id08022_UuPxNAicP1Q_00203.wav,id08022,2.7706,7.3971,2.4206,7.424,0.7176886924626755,1,0.11192608624696732,0.836639404296875,,,
00030_id01150_alTD-nbYzA8_00150.wav_p0.686_0.00-0.58_id01150.wav,00030_id01150_alTD-nbYzA8_00150.wav,id01150,0.0,0.5778,0.0,0.9278,0.6858888555522841,1,0.02464359998703003,0.157562255859375,,,
00032_id02940_1J6XAdAT-8M_00014.wav_p0.692_1.25-5.25_id02940.wav,00032_id02940_1J6XAdAT-8M_00014.wav,id02940,1.2503,5.246,0.9003,5.596,0.6921392894852448,1,0.022256024181842804,0.1680908203125,,,
00036_id08047_wUJkVSmYY0E_00389.wav_p0.873_7.23-8.50_id08047.wav,00036_id08047_wUJkVSmYY0E_00389.wav,id08047,7.2338,8.5029,6.8838,8.8529,0.8725977361774444,2,0.1794857531785965,0.934661865234375,,,
00037_id06234_knOfUpsD4ZY_00101.wav_p0.583_5.14-9.56_id06234.wav,00037_id06234_knOfUpsD4ZY_00101.wav,id06234,5.1377,9.5632,4.7877,9.9132,0.583115269361983,1,0.08542376756668091,0.84735107421875,,,
00041_id06964_EptD_40x56w_00025.wav_p0.501_4.71-5.09_id06964.wav,00041_id06964_EptD_40x56w_00025.wav,id06964,4.715,5.0911,4.365,5.12,0.5008135044146784,1,0.11401759833097458,0.654937744140625,,,
00050_id03920_i83dKqOfZgo_00264.wav_p0.624_0.00-2.57_id03920.wav,00050_id03920_i83dKqOfZgo_00264.wav,id03920,0.0,2.5736,0.0,2.9236,0.6236662033436899,1,0.10039139539003372,0.568206787109375,,,
00068_id09207_gE6xgCxEdgs_00056.wav_p0.888_0.00-0.74_id09207.wav,00068_id09207_gE6xgCxEdgs_00056.wav,id09207,0.0,0.7432,0.0,1.0932,0.8878722993455843,1,0.05146583169698715,0.2440185546875,,,
00072_id01230_oADBNkAYU7g_00072.wav_p0.679_3.62-6.31_id01230.wav,00072_id01230_oADBNkAYU7g_00072.wav,id01230,3.6245,6.3083,3.2744999999999997,6.336,0.6793776356023121,1,0.02329101227223873,0.14453125,,,
00076_id07627_kyuSO2AYDXQ_00071.wav_p0.595_3.83-5.80_id07627.wav,00076_id07627_kyuSO2AYDXQ_00071.wav,id07627,3.8264,5.7959,3.4764,5.824,0.5951327792782329,1,0.12554751336574554,0.62982177734375,,,
00098_id04848_tIOpuF_rVX8_00066.wav_p0.614_6.24-7.95_id04848.wav,00098_id04848_tIOpuF_rVX8_00066.wav,id04848,6.2354,7.9451,5.885400000000001,8.2951,0.6144653167855285,1,0.027299754321575165,0.16668701171875,,,
00103_id06002_hF7hXzs9pKo_00240.wav_p0.791_0.00-0.78_id06002.wav,00103_id06002_hF7hXzs9pKo_00240.wav,id06002,0.0,0.7801,0.0,1.1301,0.7913250632475968,1,0.29357603192329407,0.9443359375,,,
00122_id02661_nB9wwWQOXls_00056.wav_p0.673_0.00-0.55_id02661.wav,00122_id02661_nB9wwWQOXls_00056.wav,id02661,0.0,0.5521,0.0,0.9021,0.6728367974844056,1,0.025777021422982216,0.142181396484375,,,
00125_id09192_5NU0FVTTQX4_00019.wav_p0.797_4.81-7.78_id09192.wav,00125_id09192_5NU0FVTTQX4_00019.wav,id09192,4.8132,7.7813,4.4632000000000005,7.808,0.7969340977494939,2,0.04141479730606079,0.292022705078125,,,
00137_id03445_3hTlfU_btyU_00008.wav_p0.805_4.80-7.86_id03445.wav,00137_id03445_3hTlfU_btyU_00008.wav,id03445,4.8025,7.8563,4.452500000000001,8.2063,0.8050848151718754,1,0.05551016330718994,0.25994873046875,,,
00142_id02083_n2l3qdt5Yo8_00063.wav_p0.581_7.39-8.90_id02083.wav,00142_id02083_n2l3qdt5Yo8_00063.wav,id02083,7.39,8.8986,7.04,9.2486,0.5812067101449702,1,0.08482251316308975,0.4322509765625,,,
00157_id02617_4EZjRXC4fLk_00023.wav_p0.705_0.00-0.41_id02617.wav,00157_id02617_4EZjRXC4fLk_00023.wav,id02617,0.0,0.4138,0.0,0.7638,0.7047769459652631,1,0.05035989359021187,0.289154052734375,,,
00172_id01488_1AAukkAtYPE_00002.wav_p0.737_3.94-6.76_id01488.wav,00172_id01488_1AAukkAtYPE_00002.wav,id01488,3.9391,6.7566,3.5890999999999997,6.784,0.737258558722027,2,0.04437030106782913,0.36505126953125,,,
00175_id04346_eoGNDfrtjmk_00064.wav_p0.713_0.00-0.45_id04346.wav,00175_id04346_eoGNDfrtjmk_00064.wav,id04346,0.0,0.4537,0.0,0.8037,0.712725429439805,1,0.04197004437446594,0.18634033203125,,,
