group,file_path,start_s,end_s,pair_id,speaker,source,source_split
speech-asv-bona,laughsmi/data/asvspoof2019_bonafide_wavs/asv2019_test_00985_LA_0057.wav,0.0,-1.0,,LA_0057,ASVspoof2019_LA,test
speech-asv-bona,laughsmi/data/asvspoof2019_bonafide_wavs/asv2019_test_00829_LA_0027.wav,0.0,-1.0,,LA_0027,ASVspoof2019_LA,test
speech-asv-bona,laughsmi/data/asvspoof2019_bonafide_wavs/asv2019_test_00511_LA_0047.wav,0.0,-1.0,,LA_0047,ASVspoof2019_LA,test
speech-asv-bona,laughsmi/data/asvspoof2019_bonafide_wavs/asv2019_test_00031_LA_0020.wav,0.0,-1.0,,LA_0020,ASVspoof2019_LA,test
speech-asv-bona,laughsmi/data/asvspoof2019_bonafide_wavs/asv2019_test_01323_LA_0033.wav,0.0,-1.0,,LA_0033,ASVspoof2019_LA,test
speech-asv-bona,laughsmi/data/asvspoof2019_bonafide_wavs/asv2019_test_00653_LA_0055.wav,0.0,-1.0,,LA_0055,ASVspoof2019_LA,test
speech-asv-bona,laughsmi/data/asvspoof2019_bonafide_wavs/asv2019_validation_00151_LA_0106.wav,0.0,-1.0,,LA_0106,ASVspoof2019_LA,validation
speech-asv-bona,laughsmi/data/asvspoof2019_bonafide_wavs/asv2019_test_01279_LA_0042.wav,0.0,-1.0,,LA_0042,ASVspoof2019_LA,test
speech-asv-bona,laughsmi/data/asvspoof2019_bonafide_wavs/asv2019_test_00382_LA_0034.wav,0.0,-1.0,,LA_0034,ASVspoof2019_LA,test
speech-asv-bona,laughsmi/data/asvspoof2019_bonafide_wavs/asv2019_test_01237_LA_0064.wav,0.0,-1.0,,LA_0064,ASVspoof2019_LA,test
speech-asv-bona,laughsmi/data/asvspoof2019_bonafide_wavs/asv2019_test_00550_LA_0054.wav,0.0,-1.0,,LA_0054,ASVspoof2019_LA,test
speech-asv-bona,laughsmi/data/asvspoof2019_bonafide_wavs/asv2019_validation_00134_LA_0077.wav,0.0,-1.0,,LA_0077,ASVspoof2019_LA,validation
speech-asv-bona,laughsmi/data/asvspoof2019_bonafide_wavs/asv2019_test_00596_LA_0039.wav,0.0,-1.0,,LA_0039,ASVspoof2019_LA,test
speech-asv-bona,laughsmi/data/asvspoof2019_bonafide_wavs/asv2019_test_00548_LA_0017.wav,0.0,-1.0,,LA_0017,ASVspoof2019_LA,test
speech-asv-bona,laughsmi/data/asvspoof2019_bonafide_wavs/asv2019_test_00556_LA_0006.wav,0.0,-1.0,,LA_0006,ASVspoof2019_LA,test
